mapSize: [21, 41],
map: [
  [ Tree3, -32.000, 0.000, -80.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree3, -28.000, 0.000, -80.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree2, -20.000, 0.000, -80.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, -16.000, 0.000, -80.000, 1.000, 1.000, 1.000, 180.000 ],
  [ Tree3, -12.000, 0.000, -80.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, -8.000, 0.000, -80.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, -4.000, 0.000, -80.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, 0.000, 0.000, -80.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree3, 4.000, 0.000, -80.000, 1.000, 1.000, 1.000, 180.000 ],
  [ Tree3, 8.000, 0.000, -80.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree3, 12.000, 0.000, -80.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, 16.000, 0.000, -80.000, 1.000, 1.000, 1.000, 180.000 ],
  [ Tree2, 20.000, 0.000, -80.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree3, 32.000, 0.000, -80.000, 1.000, 1.000, 1.000, 0.000 ],
  [ House-1-5(3), -36.000, 0.000, -76.000, 1.000, 1.000, 1.000, 270.000 ],
  [ House-1-5(4), -24.000, 0.000, -76.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Lamppost, -16.000, 0.000, -76.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Lamppost, 16.000, 0.000, -76.000, 1.000, 1.000, 1.000, 0.000 ],
  [ House-1-5(2), 24.000, 0.000, -76.000, 1.000, 1.000, 1.000, 270.000 ],
  [ House-1-5(5), 36.000, 0.000, -76.000, 1.000, 1.000, 1.000, 270.000 ],
  [ Tree2, -40.000, 0.000, -72.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Boss01, 0.000, 0.000, -72.000, 1.000, 1.000, 1.000, 0.000 ],
  [ Tree2, 40.000, 0.000, -72.000, 1.000, 1.000, 1.000, 0.000 ],
