mapSize: [41, 41],
map: [
  [ MobleTree3, -44.000, 0.000, -80.000, 0.420, 0.375, 0.420, 270.000 ],
  [ Tree2, -40.000, 0.000, -80.000, 0.917, 1.284, 0.917, 180.000 ],
  [ MobleTree2, -36.000, 0.000, -80.000, 0.451, 0.465, 0.451, 90.000 ],
  [ Tree3, -32.000, 0.000, -80.000, 1.259, 1.133, 1.259, 90.000 ],
  [ Tree2, -28.000, 0.000, -80.000, 0.997, 1.062, 0.997, 270.000 ],
  [ House-1-5(3), -20.000, 0.000, -80.000, 1.000, 1.000, 1.000, 90.000 ],
  [ House-1-5(3), -12.000, 0.000, -80.000, 1.000, 1.000, 1.000, 90.000 ],
  [ House-1-5(3), -4.000, 0.000, -80.000, 1.000, 1.000, 1.000, 90.000 ],
  [ House-1-5(3), 4.000, 0.000, -80.000, 1.000, 1.000, 1.000, 90.000 ],
  [ House-1-5(3), 12.000, 0.000, -80.000, 1.000, 1.000, 1.000, 90.000 ],
  [ House-1-5(3), 20.000, 0.000, -80.000, 1.000, 1.000, 1.000, 90.000 ],
  [ MobleTree2, 28.000, 0.000, -80.000, 0.605, 0.451, 0.605, 270.000 ],
  [ MobleTree1, 32.000, 0.000, -80.000, 0.429, 0.375, 0.429, 90.000 ],
  [ Tree2, 36.000, 0.000, -80.000, 0.845, 0.880, 0.845, 90.000 ],
  [ Tree3, 40.000, 0.000, -80.000, 1.046, 0.750, 1.046, 180.000 ],
  [ MobleTree2, 44.000, 0.000, -80.000, 0.471, 0.420, 0.471, 180.000 ],
  [ MobleTree3, 48.000, 0.000, -80.000, 0.589, 0.380, 0.589, 180.000 ],
  [ MobleTree3, 52.000, 0.000, -80.000, 0.577, 0.501, 0.577, 90.000 ],
  [ MobleTree3, -44.000, 0.000, -76.000, 0.550, 0.750, 0.550, 0.000 ],
  [ Tree3, -40.000, 0.000, -76.000, 0.968, 0.955, 0.968, 270.000 ],
  [ Fortress0, -16.000, 0.000, -76.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Fortress0, 16.000, 0.000, -76.000, 1.000, 1.000, 1.000, 270.000 ],
  [ MobleTree2, 40.000, 0.000, -76.000, 0.484, 0.482, 0.484, 90.000 ],
  [ MobleTree3, 48.000, 0.000, -76.000, 0.517, 0.433, 0.517, 270.000 ],
  [ MobleTree3, 52.000, 0.000, -76.000, 0.535, 0.474, 0.535, 180.000 ],
  [ MobleTree3, -44.000, 0.000, -72.000, 0.375, 0.495, 0.375, 0.000 ],
  [ RocketLauncher, -8.000, 0.000, -72.000, 0.500, 0.500, 0.500, 90.000 ],
  [ Fortress2, -0.000, 0.000, -72.000, 1.000, 1.000, 1.000, 180.000 ],
  [ RocketLauncher, 8.000, 0.000, -72.000, 0.500, 0.500, 0.500, 90.000 ],
  [ MobleTree2, 40.000, 0.000, -72.000, 0.626, 0.475, 0.626, 180.000 ],
  [ MobleTree3, 48.000, 0.000, -72.000, 0.452, 0.548, 0.452, 180.000 ],
  [ MobleTree3, -44.000, 0.000, -68.000, 0.582, 0.490, 0.582, 270.000 ],
  [ MobleTree3, -40.000, 0.000, -68.000, 0.632, 0.561, 0.632, 0.000 ],
  [ T-34, -28.000, 0.000, -68.000, 1.000, 1.000, 1.000, 0.000 ],
  [ T-34, 28.000, 0.000, -68.000, 1.000, 1.000, 1.000, 0.000 ],
  [ MobleTree2, 40.000, 0.000, -68.000, 0.443, 0.616, 0.443, 0.000 ],
  [ MobleTree3, 44.000, 0.000, -68.000, 0.375, 0.375, 0.375, 270.000 ],
  [ MobleTree3, 48.000, 0.000, -68.000, 0.472, 0.415, 0.472, 270.000 ],
  [ MobleTree3, -40.000, 0.000, -64.000, 0.406, 0.379, 0.406, 270.000 ],
  [ MobleTree2, 40.000, 0.000, -64.000, 0.484, 0.567, 0.484, 0.000 ],
  [ MobleTree3, 44.000, 0.000, -64.000, 0.531, 0.470, 0.531, 90.000 ],
  [ MobleTree2, 56.000, 0.000, -64.000, 0.672, 0.427, 0.672, 270.000 ],
  [ MobleTree3, -40.000, 0.000, -60.000, 0.447, 0.450, 0.447, 270.000 ],
  [ MobleTree3, -36.000, 0.000, -60.000, 0.397, 0.429, 0.397, 180.000 ],
  [ MobleTree3, 40.000, 0.000, -60.000, 0.593, 0.513, 0.593, 180.000 ],
  [ MobleTree3, 44.000, 0.000, -60.000, 0.449, 0.417, 0.449, 270.000 ],
  [ MobleTree2, -40.000, 0.000, -56.000, 0.499, 0.375, 0.499, 90.000 ],
  [ MobleTree2, -36.000, 0.000, -56.000, 0.411, 0.541, 0.411, 0.000 ],
  [ MobleTree3, 40.000, 0.000, -56.000, 0.510, 0.556, 0.510, 0.000 ],
  [ MobleTree3, -36.000, 0.000, -52.000, 0.655, 0.540, 0.655, 90.000 ],
  [ MobleTree3, -32.000, 0.000, -52.000, 0.456, 0.447, 0.456, 270.000 ],
  [ T-34, -4.000, 0.000, -52.000, 1.000, 1.000, 1.000, 0.000 ],
  [ T-34, 4.000, 0.000, -52.000, 1.000, 1.000, 1.000, 0.000 ],
  [ MobleTree3, 36.000, 0.000, -52.000, 0.620, 0.375, 0.620, 90.000 ],
  [ MobleTree2, 40.000, 0.000, -52.000, 0.648, 0.473, 0.648, 90.000 ],
  [ MobleTree3, -32.000, 0.000, -48.000, 0.445, 0.451, 0.445, 270.000 ],
  [ MobleTree3, 32.000, 0.000, -48.000, 0.375, 0.537, 0.375, 270.000 ],
  [ MobleTree3, 36.000, 0.000, -48.000, 0.439, 0.375, 0.439, 90.000 ],
  [ MobleTree2, -44.000, 0.000, -44.000, 0.375, 0.511, 0.375, 270.000 ],
  [ MobleTree2, -40.000, 0.000, -44.000, 0.399, 0.383, 0.399, 90.000 ],
  [ MobleTree3, -32.000, 0.000, -44.000, 0.437, 0.474, 0.437, 0.000 ],
  [ MobleTree3, 28.000, 0.000, -44.000, 0.401, 0.626, 0.401, 90.000 ],
  [ MobleTree3, 32.000, 0.000, -44.000, 0.518, 0.421, 0.518, 0.000 ],
  [ MobleTree2, -40.000, 0.000, -40.000, 0.375, 0.528, 0.375, 90.000 ],
  [ MobleTree3, -32.000, 0.000, -40.000, 0.415, 0.376, 0.415, 0.000 ],
  [ MobleTree3, -28.000, 0.000, -40.000, 0.417, 0.524, 0.417, 270.000 ],
  [ MobleTree3, 28.000, 0.000, -40.000, 0.375, 0.493, 0.375, 90.000 ],
  [ MobleTree2, -28.000, 0.000, -36.000, 0.433, 0.463, 0.433, 180.000 ],
  [ MobleTree2, -20.000, 0.000, -36.000, 0.482, 0.520, 0.482, 90.000 ],
  [ MobleTree3, 24.000, 0.000, -36.000, 0.388, 0.428, 0.388, 90.000 ],
  [ MobleTree3, 28.000, 0.000, -36.000, 0.375, 0.684, 0.375, 0.000 ],
  [ MobleTree2, 36.000, 0.000, -36.000, 0.375, 0.375, 0.375, 0.000 ],
  [ MobleTree3, -28.000, 0.000, -32.000, 0.639, 0.463, 0.639, 90.000 ],
  [ MobleTree3, -24.000, 0.000, -32.000, 0.433, 0.685, 0.433, 90.000 ],
  [ MobleTree2, -20.000, 0.000, -32.000, 0.750, 0.375, 0.750, 0.000 ],
  [ MobleTree3, -16.000, 0.000, -32.000, 0.450, 0.559, 0.450, 90.000 ],
  [ MobleTree3, -12.000, 0.000, -32.000, 0.560, 0.518, 0.560, 180.000 ],
  [ MobleTree3, -8.000, 0.000, -32.000, 0.393, 0.383, 0.393, 90.000 ],
  [ MobleTree2, 16.000, 0.000, -32.000, 0.450, 0.411, 0.450, 0.000 ],
  [ MobleTree3, 20.000, 0.000, -32.000, 0.466, 0.532, 0.466, 90.000 ],
  [ MobleTree3, 24.000, 0.000, -32.000, 0.618, 0.518, 0.618, 0.000 ],
  [ MobleTree3, -16.000, 0.000, -28.000, 0.670, 0.375, 0.670, 0.000 ],
  [ MobleTree3, -12.000, 0.000, -28.000, 0.570, 0.638, 0.570, 270.000 ],
  [ MobleTree3, -8.000, 0.000, -28.000, 0.558, 0.406, 0.558, 0.000 ],
  [ Lamppost, 8.000, 0.000, -28.000, 1.000, 1.000, 1.000, 0.000 ],
  [ MobleTree3, 12.000, -0.000, -28.000, 0.449, 0.375, 0.449, 180.000 ],
  [ MobleTree2, 16.000, 0.000, -28.000, 0.538, 0.495, 0.538, 0.000 ],
  [ MobleTree2, 20.000, 0.000, -28.000, 0.420, 0.506, 0.420, 180.000 ],
  [ MobleTree2, -24.000, 0.000, -24.000, 0.381, 0.591, 0.381, 0.000 ],
  [ MobleTree3, -8.000, 0.000, -24.000, 0.593, 0.585, 0.593, 180.000 ],
  [ MobleTree3, 8.000, 0.000, -24.000, 0.463, 0.470, 0.463, 180.000 ],
  [ MobleTree3, 12.000, 0.000, -24.000, 0.472, 0.375, 0.472, 0.000 ],
  [ MobleTree2, 20.000, 0.000, -24.000, 0.602, 0.375, 0.602, 180.000 ],
  [ Tree3, -56.000, 0.000, -20.000, 1.310, 0.940, 1.310, 90.000 ],
  [ MobleTree2, -48.000, 0.000, -20.000, 0.581, 0.437, 0.581, 270.000 ],
  [ MobleTree2, -8.000, 0.000, -20.000, 0.443, 0.491, 0.443, 270.000 ],
  [ MobleTree3, 8.000, 0.000, -20.000, 0.537, 0.466, 0.537, 0.000 ],
  [ MobleTree3, 12.000, 0.000, -20.000, 0.567, 0.465, 0.567, 0.000 ],
  [ MobleTree2, 32.000, 0.000, -20.000, 0.627, 0.448, 0.627, 0.000 ],
  [ MobleTree3, -68.000, 0.000, -16.000, 0.506, 0.618, 0.506, 0.000 ],
  [ MobleTree3, -44.000, 0.000, -16.000, 0.386, 0.547, 0.386, 270.000 ],
  [ Tree3, -40.000, 0.000, -16.000, 0.871, 1.124, 0.871, 0.000 ],
  [ BrickHouse, -12.000, 0.000, -16.000, 2.918, 3.804, 3.032, 0.000 ],
  [ MobleTree3, 8.000, 0.000, -16.000, 0.542, 0.638, 0.542, 180.000 ],
  [ MobleTree3, 12.000, 0.000, -16.000, 0.557, 0.638, 0.557, 90.000 ],
  [ MobleTree2, 16.000, 0.000, -16.000, 0.544, 0.494, 0.544, 180.000 ],
  [ Tree3, 20.000, 0.000, -16.000, 0.750, 0.804, 0.750, 90.000 ],
  [ MobleTree2, 36.000, 0.000, -16.000, 0.489, 0.588, 0.489, 0.000 ],
  [ MobleTree2, -68.000, 0.000, -12.000, 0.550, 0.439, 0.550, 180.000 ],
  [ MobleTree3, -64.000, 0.000, -12.000, 0.507, 0.614, 0.507, 270.000 ],
  [ MobleTree3, -60.000, 0.000, -12.000, 0.688, 0.383, 0.688, 270.000 ],
  [ MobleTree3, -56.000, 0.000, -12.000, 0.649, 0.375, 0.649, 0.000 ],
  [ MobleTree3, -52.000, 0.000, -12.000, 0.481, 0.619, 0.481, 270.000 ],
  [ Tree3, -48.000, 0.000, -12.000, 0.750, 0.805, 0.750, 0.000 ],
